index,label,timestamp,object_ind,depth,yolo_cls,yolo_proba,pos_map_x,pos_map_y,pos_map_z,pos_cam_x,pos_cam_y,pos_cam_z,pos_img_x,pos_img_y,width_img,height_img
1581526201310870773_0,clutter,1581526201310870773,0,2820,bottle,0.2273036539554596,-6.147785917952987,-2.4131624432218732,0.8926141441445827,-1.0275464531641567,-0.09159134682681236,2.82,273,231,20,42
1581526201476829957_0,clutter,1581526201476829957,0,2613,bottle,0.3529484272003174,-6.148492602757984,-2.40419430340619,0.9155079278178375,-1.4259409361524396,-0.07135207301379451,2.613,171,233,28,44
1581526201476829957_2,clutter,1581526201476829957,2,2913,bottle,0.251242071390152,-6.218984021585864,-1.1432089652233266,0.24895117478304063,-0.17395446475741086,0.5466130098999842,2.913,422,323,51,97
1581526201643809382_1,clutter,1581526201643809382,1,2846,bottle,0.21822193264961243,-6.23913371126727,-1.1371479230843198,0.25899690464789016,-0.6103397129343238,0.5504702962093333,2.846,337,322,54,104
1581526201776958682_2,clutter,1581526201776958682,2,2489,cup,0.3626871705055237,-6.192356472503665,-1.7441376057695148,0.2131915496818888,-1.4647730300216737,0.672538976982819,2.489,114,360,95,112
1581526205910821950_0,currant,1581526205910821950,0,2278,bottle,0.2796250879764557,-5.423938038512247,3.1657485728118244,1.077123986566251,-1.6286176700325108,-0.1659010600433477,2.278,82,203,23,54
1581526205910821950_1,clutter,1581526205910821950,1,2280,bottle,0.20884670317173004,-5.43977801451436,3.1396764609654824,0.9445034183223132,-1.6447168677894926,-0.03078743819565168,2.28,76,241,27,43
1581526206276867138_0,clutter,1581526206276867138,0,2782,bottle,0.25632837414741516,-5.576782749738634,3.9230605797618106,0.8923651541729185,-1.7674603178831871,-0.08332637380624477,2.782,125,228,22,51
1581526206276867138_1,mate,1581526206276867138,1,2820,bottle,0.2256227433681488,-5.061232713240086,3.950499170806234,0.7969892802061677,-1.2515204789695888,0.006135105998690538,2.82,232,252,15,38
1581526206276867138_2,lemonaid,1581526206276867138,2,2366,bottle,0.23811447620391846,-4.754799226548696,3.4998863162247114,0.8361491625209378,-0.9527392646693609,0.06181911487142438,2.366,255,269,14,30
1581526206443759820_0,mate,1581526206443759820,0,2171,bottle,0.39081570506095886,-5.199018548218628,3.4421280378971764,0.9727587810260327,-1.374132766351342,-0.036686263122841074,2.171,127,230,21,61
1581526206443759820_1,white_cup,1581526206443759820,1,1986,cup,0.27353301644325256,-4.887826859888593,3.2469539051493195,0.9026976391324072,-1.0685439327884767,0.07391318255706318,1.986,169,277,39,26
1581526206443759820_2,mate,1581526206443759820,2,2691,bottle,0.22474953532218933,-5.046883568885045,3.9386991889111,0.7862120677090928,-1.2081148902761158,0.04434275037816359,2.691,228,260,18,38
